Stock Code,Stock Name
00772,CHINA LIT
00775,CKLIFE SCIENCES
00776,IMPERIUM GP
00777,NETDRAGON
00778,FORTUNE REIT
00780,TONGCHENG-ELONG
00784,LING YUI
00787,GLOBAL BRANDS
00788,CHINA TOWER
00789,ARTINI HLDG
00794,COME SURE GROUP
00797,7ROAD
00798,CEOVU
00799,IGG
00800,A8 NEW MEDIA
00801,GOLDEN MEDITECH
00802,CHINA E-WALLET
00803,PROSPERITY INTL
00804,PINESTONE
00806,VALUE PARTNERS
00807,SIICENVIRONMENT
00808,PROSPERITY REIT
00809,GLOBAL BIO-CHEM
00810,CH INTERNET INV
00811,XINHUA WINSHARE
00812,SWSI
00813,SHIMAO PROPERTY
00814,JINGKELONG
00815,CHI SILVER GP
00816,HUADIAN FUXIN
00817,CHINA JINMAO
00818,HI SUN TECH
00819,TIANNENG POWER
00820,HSBCDRAGON FUND
00821,VC HOLDINGS
00822,KA SHUI INT'L
00823,LINK REIT
00825,NWDS CHINA
00826,TIANGONG INT'L
00827,KO YO GROUP
00828,DYNASTY WINES
00829,SHENGUAN HLDGS
00830,CSC DEVELOPMENT
00831,CR ASIA
00832,CENTRAL CHINA
00833,ALLTRONICS
00834,KANGDA FOOD
00836,CHINA RES POWER
00837,CARPENTER TAN
00838,EVA HOLDINGS
00839,CHINA EDU GROUP
00840,TIANYE WATER
00841,CASSAVA RES
00842,LEOCH INT'L
00844,GREATIME INTL
00845,GLORIOUS PPT H
00846,MINGFA GROUP
00848,MAOYE INT'L
00850,TOURONG CHANGFU
00851,SHENG YUAN HLDG
00852,STRONG PETRO
00853,MICROPORT
00854,WILLAS-ARRAY
00855,CHINA WATER
00856,VSTECS
00857,PETROCHINA
00858,EXTRAWELL PHAR
00859,ZHONGCHANG INTL
00860,WE SOLUTIONS
00861,DC HOLDINGS
00862,VISION VALUES
00863,BC TECH GROUP
00864,WING LEE PPT
00865,JIANDE INT'L
00866,CHINA QINFA
00867,CMS
00868,XINYI GLASS
00869,PLAYMATES TOYS
00871,CH DREDG ENV
00872,TUS INTL
00874,BAIYUNSHAN PH
00875,CHINA FIN INV
00876,KAISA HEALTH
00877,O-NET TECH GP
00878,SOUNDWILL HOLD
00880,SJM HOLDINGS
00881,ZHONGSHENG HLDG
00882,TIANJIN DEV
00883,CNOOC
00884,CIFI HOLD GP
00885,RENTIAN TECH
00886,SILVER BASE
00887,EMPEROR WATCH&J
00888,BISON FINANCE
00889,DATRONIX HOLD
00890,REP ITALY B2023
00891,TRINITY
00893,CHINAVTM MINING
00894,MAN YUE TECH
00895,DONGJIANG ENV
00896,HANISON
00897,WAI YUEN TONG
00898,MULTIFIELD INTL
00899,ASIA RESOURCES
00900,AEON CREDIT
00901,EAGLERIDE INV
00902,HUANENG POWER
00903,TPV TECHNOLOGY
00904,CHINA GREEN
00905,GLOBAL M CAP
00906,COFCO PACKAGING
00907,ELEGANCEOPTICAL
00908,ZHUHAI H INV
00910,CHINA SANDI
00911,QIANHAI HEALTH
00912,SUGA INT'L
00913,UNITY INV HOLD
00914,CONCH CEMENT
00915,DAOHE GLOBAL
00916,CHINA LONGYUAN
00918,STATE EN ASSETS
00919,MODERN BEAUTY
00921,HISENSE HA
00922,ANXIANYUAN CH
00923,IWS
00924,KHOON GROUP
00925,BJ PROPERTIES
00926,BESUNYEN
00927,FUJIKON IND
00928,LIFE HEALTHCARE
00929,IPE GROUP
00931,CHINA LNG
00932,SHUNTEN INTL
00933,BRIGHTOIL
00934,SINOPEC KANTONS
00935,DRAGON CROWN
00936,EAGLE LEGEND
00938,MAN SANG INT'L
00939,CCB
00940,C ANIMAL HEALTH
00941,CHINA MOBILE
00943,EFORCE HOLDINGS
00945,MANULIFE-S
00947,MOBI DEV
00948,ALPHA PRO HLDGS
00950,LEE'S PHARM
00951,CHAOWEI POWER
00952,TONGHAI FIN
00953,SHAW BROTHERS
00954,CHANGMAO BIO
00956,CHINA SUNTIEN
00958,HN RENEWABLES
00959,AMAX INT HOLD
00960,LONGFOR GROUP
00966,CHINA TAIPING
00967,SOUND GLOBAL
00968,XINYI SOLAR
00969,HUA LIEN INT'L
00970,SPARKLE ROLL
00973,L'OCCITANE
00974,SKL
00975,MONGOL MINING
00976,CHIHO ENV
00978,CHI MER LAND
00979,GREEN ENERGY GP
00980,LIANHUA
00981,SMIC
00982,HJ CAPITAL INTL
00983,SOCAM DEV
00984,AEON STORES
00985,CST GROUP
00986,CH ENV ENERGY
00987,CH RENEW EN INV
00988,SILKROAD LOG
00989,GROUND INTL DEV
00990,THEME INT'L
00991,DATANG POWER
00992,LENOVO GROUP
00993,HUARONG INT FIN
00994,CT VISION
00995,ANHUIEXPRESSWAY
00996,CARNIVAL GROUP
00997,CHINLINK INTL
00998,CITIC BANK
00999,I.T
01000,BEIJING MEDIA
01001,HK SH ALLIANCE
01002,V.S. INT'L
01003,HUANXI MEDIA
01004,C SMARTERENERGY
01005,MATRIX HOLDINGS
01006,CHANGSHOUHUA
01007,LONGHUI INTL
01008,BRILLIANT CIR
01009,INT'L ENT
01010,PACRAY INT'L
01011,NT PHARMA
01012,P ONTARIO B2024
01013,WAI CHUN GROUP
01019,CONVOY
01020,CYBERNAUT INT'L
01021,MIDAS HLDGS-S
01022,FEIYU
01023,SITOY GROUP
01025,KNT HOLDINGS
01026,UNIVERSAL TECH
01027,CHINA JICHENG
01028,C.BANNER
01029,IRC
01030,FUTURE LAND
01031,KINGSTON FIN
01033,SINOPEC SSC
01034,FULLWEALTH
01035,BBI LIFE SCI
01036,VANKE PPT OVS
01037,MAXNERVA TECH
01038,CKI HOLDINGS
01039,FORTUNET E-COMM
01041,LAMTEX HLDGS
01043,COSLIGHT TECH
01044,HENGAN INT'L
01045,APT SATELLITE
01046,UNIVERSE ENT
01047,NGAI HING HONG
01048,YORKSHINE HLDGS
01049,CELESTIAL ASIA
01050,KARRIE INT'L
01051,G-RESOURCES
01052,YUEXIUTRANSPORT
01053,CHONGQING IRON
01055,CHINA SOUTH AIR
01057,ZHEJIANG SHIBAO
01058,GUANGDONG TANN
01059,KANTONE HOLDING
01060,ALI PICTURES
01061,ESSEX BIO-TECH
01062,CDB INT'L INV
01063,SUNCORP TECH
01064,ZHONG HUA INT'L
01065,TIANJIN CAPITAL
01066,WEIGAO GROUP
01068,YURUN FOOD
01069,CA LOW-CARBON
01070,TCL ELECTRONICS
01071,HUADIAN POWER
01072,DONGFANG ELEC
01073,DA YU FIN
01075,CAPINFO
01076,IMPERIAL PAC
01079,PINE TECH
01080,SHENGLI PIPE
01082,HK EDU INTL
01083,TOWNGAS CHINA
01084,GF HYDROCOLLOID
01085,HXTL
01086,GOODBABY INTL
01087,INVESTECH HLDGS
01088,CHINA SHENHUA
01089,LEYOU TECH H
01090,DA MING INT'L
01091,CITIC DAMENG
01093,CSPC PHARMA
01094,C P PROCUREMENT
01096,SINO ENERGY INT
01097,I-CABLE COMM
01098,ROAD KING INFRA
01099,SINOPHARM
01100,MAINLAND HOLD
01101,HUARONG ENERGY
01102,ENVIRO ENERGY
01103,DASHENG AGR FIN
01104,APAC RESOURCES
01105,SING TAO
01106,MING LAM HLDGS
01107,MODERN LAND
01108,LUOYANG GLASS
01109,CHINA RES LAND
01110,KINGWORLD
01111,CHONG HING BANK
01112,H&H INTL HLDG
01113,CK ASSET
01114,BRILLIANCE CHI
01115,TIBET WATER
01116,MAYER HOLDINGS
01117,CH MODERN D
01118,GOLIK HOLDINGS
01119,IDREAMSKY
01120,ARTS OPTICAL
01121,BAOFENGMODERN
01122,QINGLING MOTORS
01123,CHINA-HK PHOTO
01124,COASTAL GL
01125,LAI FUNG HOLD
01126,DREAM INT'L
01127,LION ROCK GROUP
01128,WYNN MACAU
01129,WATER INDUSTRY
01130,CHINA ENV RES
01131,AGRITRADE RES
01132,ORANGE SKY G H
01133,HARBIN ELECTRIC
01134,KELFRED
01137,HKTV
01138,COSCO SHIP ENGY
01139,VICTORY GROUP
01140,OP FINANCIAL
01141,CMBC CAPITAL
01142,SIBERIAN MINING
01143,CH HCARE ENT
01145,COURAGE INV
01146,CH OUTFITTERS
01148,POWER XINCHEN
01150,MILAN STATION
01151,ELEC & ELTEK
01152,MOMENTUM FIN
01155,CENTRON TELECOM
01157,ZOOMLION
01158,NC HOTEL
01159,STARLIGHT CUL
01160,YOUTH CHAMP
01161,WATER OASIS GP
01164,CGN MINING
01165,SFCE
01166,SOLARTECH INT'L
01168,SINOLINK HOLD
